From;To;Source
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/SymbolMatcher/MatchDefsToSource;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/SymbolMatcher/MatchDefs;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/GenericMethodInstanceReference;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/MethodReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/GenericNamespaceTypeInstanceReference;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/GenericTypeInstanceReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/GenericNestedTypeInstanceReference;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/GenericTypeInstanceReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/GenericTypeInstanceReference;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/NamedTypeReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/PEAssemblyBuilderBase;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/PEModuleBuilder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/PEAssemblyBuilder;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/PEAssemblyBuilderBase;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/PENetModuleBuilder;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/PEModuleBuilder;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/SpecializedGenericMethodInstanceReference;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/SpecializedMethodReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/SpecializedGenericNestedTypeInstanceReference;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/SpecializedNestedTypeReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/SpecializedMethodReference;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/MethodReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/Emit/SpecializedNestedTypeReference;cs+class://Microsoft/CodeAnalysis/CSharp/Emit/NamedTypeReference;(not implemented)
cs+class://Microsoft/CodeAnalysis/CSharp/CSDiagnostic;cs+class://Microsoft/CodeAnalysis/DiagnosticWithInfo;(not implemented)
